City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
238,Maragogi,BR,78.84,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
241,Belmonte,BR,75.42,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
242,Nioro,GM,80.11,13.35,-15.75,
246,Alghero,IT,78.89,40.5589,8.3181,Smy Carlos V Alghero
247,Ambilobe,MG,84.42,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
250,Komsomolskiy,UZ,79.52,40.4272,71.7189,Ikathouse
251,Thanh Hoa,VN,76.44,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
253,Hambantota,LK,84.54,6.1241,81.1185,Bungalow 63
255,Prainha,BR,77.41,-1.8,-53.48,Casa Rocha
257,Mount Isa,AU,78.57,-20.7333,139.5,ibis Styles Mt Isa Verona
261,Salinopolis,BR,83.3,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
263,Baikunthpur,IN,79.27,23.25,82.55,Hotel Shree Annapurna
265,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
266,Karhal,IN,85.96,27.0003,78.9414,Ganga Bhavan
267,Asmar,AF,79.23,35.0333,71.3581,COP Monti
271,Palera,IN,83.32,25.0167,79.2333,Pathak Residency & Garden
273,Kieta,PG,80.31,-6.2167,155.6333,Uruna Bay Retreat
278,Gizo,SB,82.63,-8.103,156.8419,Imagination Island
279,Tomatlan,MX,76.06,19.9333,-105.25,El Salvial
281,Mahibadhoo,MV,80.33,3.7833,72.9667,Omadhoo Inn
282,Samarai,PG,81.03,-10.6167,150.6667,Nuli Sapi
293,Mizdah,LY,78.58,31.4451,12.9801,محمدالمبروك الاريقط
295,Tecoanapa,MX,76.95,16.5167,-98.75,Hotel Manglares
298,Turan,VN,80.58,16.0678,108.2208,Grand Mercure Danang
300,Sabha,LY,80.02,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
303,Niquelandia,BR,80.85,-14.4739,-48.4597,Hotel Suinã
304,Saint-Pierre,RE,78.48,-21.3393,55.4781,Alize Plage
308,Lumut,MY,80.35,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
311,Vieux-Habitants,GP,83.71,16.0589,-61.7659,Habitation GETZ
314,Neiafu,TO,78.17,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
321,Shaowu,CN,75.0,27.3409,117.4831,Yijie Express Hotel
328,Kralendijk,BQ,80.58,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
331,Chimoio,MZ,88.68,-19.1164,33.4833,Predio Livraria Ahmed
337,Shenzhen,CN,88.99,22.5455,114.0683,Grand Skylight
344,Asyut,EG,89.15,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
348,Bansi,IN,81.66,27.1833,82.9333,सबलू गाडी धुलाई सेंटर
350,Ratnagiri,IN,84.7,16.9833,73.3,Hotel Landmark
351,Sanlucar De Barrameda,ES,77.11,36.7781,-6.3515,HOTEL BARRAMEDA
353,Marratxi,ES,82.72,39.6421,2.7539,S'Hort de Son Caulelles
354,Bahia Honda,CU,75.6,22.9036,-83.1592,Casa Gualberto - Deysi
355,Kanlagay,PH,82.31,5.8757,121.2915,
358,The Valley,AI,83.1,18.217,-63.0578,CeBlue Villas & Beach Resort
